137,0
227,1
92,2
173,2
191,2
155,0
7512,2
245,2
110,2
487,0
95,2
104,0
1064,2
131,2
122,2
176,2
409,0
77,2
86,0
158,3
185,2
1351,0
1378,2
59,2
32,2
660,0
346,0
355,0
768,2
735,4
53,2
62,5
941,2
376,0
681,0
8,2
17,2
125,2
304,2
89,5
295,2
98,0
107,2
11,2
639,4
56,2
370,2
29,2
47,2
585,5
253,0
666,2
20,2
289,3
316,2
1590,0
65,2
280,2
265,6
256,0
211,2
292,2
7550,0
588,0
274,0
14,2
202,7
238,2
277,2
815,2
142,1
824,0
250,2
259,1
133,2
205,2
214,1
196,0
241,2
163,2
172,1
208,2
683,0
100,0
82,2
190,2
710,8
1132,4
818,2
1159,2
73,2
145,2
154,2
1760,0
360,0
7403,0
85,2
94,0
58,2
67,2
946,0
1368,2
623,4
686,0
40,2
49,2
130,0
4,8
345,2
632,2
148,8
22,2
31,2
76,4
103,3
112,1
318,0
97,2
348,2
79,2
411,0
375,0
70,0
52,6
258,0
25,2
34,2
7588,0
530,0
871,2
557,2
306,0
37,8
207,2
216,0
288,2
279,0
19,2
315,2
156,4
255,4
228,3
7603,2
264,0
452,4
219,0
291,2
120,2
237,0
192,0
201,0
222,2
87,0
482,9
177,2
159,2
141,2
105,2
114,0
123,2
1074,0
78,7
69,0
491,0
706,3
99,8
45,2
413,2
485,2
81,3
126,0
467,0
27,10
36,2
449,8
135,0
108,0
117,0
350,0
9,2
703,0
362,2
272,2
3,2
12,2
75,7
2336,0
281,0
290,2
371,2
30,2
39,7
398,2
748,5
66,2
613,0
15,0
42,9
51,0
257,0
24,2
347,2
33,2
6,2
589,0
320,3
203,2
544,0
212,0
284,0
266,1
906,0
942,0
260,0
269,0
1139,0
807,2
484,0
798,0
287,2
242,2
197,9
951,4
296,1
233,0
305,0
